input<dev:1><op:1><p1:1><p2:2><outLen:1><inLen:1><data:inLen>,result,op,description
50028000002000,0123 .... .... .... .... .... EE.. ..00 A000 5500 8320 8720 8F20 C48F 8F8F 8F8F,Read,32 bytes of Config zone at block 0 offset 0
50028000082000,9F8F AF8F 0000 0000 0000 0000 0000 0000 0000 AF8F FFFF FFFF 0000 0000 FFFF FFFF,Read,32 bytes of Config zone at block 1 offset 0
50028000102000,0000 0000 FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF 0000 5555 FFFF 0000 0000 0000,Read,32 bytes of Config zone at block 2 offset 0
50028000182000,3300 3300 3300 1C00 1C00 1C00 1C00 1C00 3C00 3C00 3C00 3C00 3C00 3C00 3C00 1C00,Read,32 bytes of Config zone at block 3 offset 0
50470000000100,00,SHA,Start SHA engine
50470200032003616263,BA78 16BF 8F01 CFEA 4141 40DE 5DAE 2223 B003 61A3 9617 7A9C B410 FF61 F200 15AD,SHA,Finalize SHA over string `abc`
501b0000002000,FFFF 0000 FFFF 0000 FFFF 0000 FFFF 0000 FFFF 0000 FFFF 0000 FFFF 0000 FFFF 0000,Random,Test response set by manufacturer while device remains unlocked
50020000050400,8320 8720,Read,4 bytes for SlotConfig<1> via Config zone at block 0 offset 5 (factory settings)
5012000005010483008720,00,Write,4 bytes for SlotConfig<1> via Config zone at block 0 offset 5 (personalized)
50020000050400,8300 8720,Read,4 bytes for SlotConfig<1> via Config zone at block 0 offset 5 (personalized)
5012000005010483208720,00,Write,4 bytes for SlotConfig<1> via Config zone at block 0 offset 5 (factory settings restored)
50020000050400,8320 8720,Read,4 bytes for SlotConfig<1> via Config zone at block 0 offset 5 (factory settings restored)
50020000100400,0000 0000,Read,Read 4 bytes from config at block 2 offset 0
50020000110400,FFFF FFFF,Read,Read 4 bytes from config at block 2 offset 1
50020000150400,0000 5555,Read,Read 4 bytes from config at block 2 offset 5 (UserExtra / Selector / LockValue / LockConfig)
501700....0100,00,Lock,Permanently locks configuration zone if its CRC-16 value parameter (P2) has been verified
